image_id,artwork_id,artist,width,height,aspect_ratio,colorfulness,HR,FAR,CR,RESMEM
6dc1f7e0-37e4-137a-04f4-a3940a317420,104271,Ivan Albright,4344,5889,0.7376464595007641,19.4256,0.9,0.075,0.8250000000000001,0.931662380695343
80417f99-ab41-63b5-b810-31882ece26ea,98034,Robert Motherwell,1726,3000,0.5753333333333334,26.0009,0.9,0.075,0.8250000000000001,0.878075182437896
df0a03a4-be1c-3f8d-73b1-5941dca57bba,82410,Mark Rothko,10184,9067,1.12319400022058,71.5432,0.925,0.1,0.8250000000000001,0.900661885738372
e763fafc-fc52-6f6b-a12e-5772dda7d12a,152752,Ellsworth Kelly,5095,5352,0.9519805680119582,0.8257,0.9,0.075,0.8250000000000001,0.926144123077392
ea275426-a1cd-e2d2-cc48-360bf043ab80,184857,Ellen Lanyon,2410,3000,0.8033333333333333,6.4784,0.925,0.1,0.8250000000000001,0.902264177799224
ff5ad798-0635-329c-4969-856886f97f31,52697,Felix Edouard Vallotton,2941,2250,1.3071111111111111,36.7802,0.9,0.075,0.8250000000000001,0.932723045349121
2b35fc44-ea81-47ed-d8d9-01795b01313f,115180,Elizabeth Murray,3000,2156,1.391465677179963,16.3599,0.9,0.075,0.8250000000000001,0.791577398777008
488e2088-06a5-6811-78b4-56d736a25019,100351,Jules Joseph Lefebvre,3000,1543,1.9442644199611148,34.4957,0.9,0.075,0.8250000000000001,0.930755496025085
5bfd7409-b07d-dd6d-8f11-1ebb3ca034e5,154495,George Cope,1636,2250,0.7271111111111112,37.5111,0.9,0.075,0.8250000000000001,0.767363488674163
88ad299c-cd3c-fc64-8a62-29801903f99d,115567,Isiah Whyte,3000,2475,1.2121212121212122,36.5889,0.9,0.075,0.8250000000000001,0.79134714603424
95ad6bb3-00e0-cb37-fae0-915f5ebacf84,56464,Leon Joseph Florentin Bonnat,6524,9614,0.6785937174953193,15.9603,0.9,0.075,0.8250000000000001,0.816196680068969
c2bf35ea-3878-ffd1-18c3-311f13db873a,86298,Emile van Marcke de Lummen,3000,2040,1.4705882352941178,33.9495,0.9,0.075,0.8250000000000001,0.663148581981658
c8eacf36-436a-f4df-819e-d8fefbfac1d2,120170,Eastman Johnson,1785,2250,0.7933333333333333,21.2044,0.925,0.1,0.8250000000000001,0.730134427547454
10ded856-4cd4-e1b3-24bb-024c8071c50b,229824,Arthur Segal,1832,2250,0.8142222222222222,37.335,0.85,0.025,0.825,0.947307288646698
120798bb-0825-0abc-f4ad-84762c5f1dfc,55703,Joseph Yoakum,3000,2052,1.4619883040935673,57.5881,0.825,0.0,0.825,0.864645838737487
19631cfa-647b-0363-7079-2ea1f8372453,189556,Roger Brown,2248,2250,0.9991111111111111,15.5587,0.85,0.025,0.825,0.669118881225585
35f3586a-7208-cac6-057b-3ee9af77e96c,83147,Frank Snapp,2026,3000,0.6753333333333333,38.4446,0.825,0.0,0.825,0.814924359321594
39149ead-2dec-befd-b24b-3783502c4f3d,,Alexei Jawlensky,1762,2272,0.7755281690140845,0.0,0.85,0.025,0.825,0.901813328266143
4139acbb-b0a6-78ed-4c56-16d67d1f9997,,Wayman Adams,1896,2250,0.8426666666666667,0.0,0.85,0.025,0.825,0.771985948085784
446680d8-037b-aea7-738e-62ac5765aaa3,229358,Andy Warhol,4932,6133,0.8041741398989075,12.9021,0.85,0.025,0.825,0.848585247993469
4c290ea6-7969-d1c8-3c4c-132bd99f629a,87440,Walter Ufer,2703,2250,1.2013333333333334,50.3702,0.875,0.05,0.825,0.733158648014068
53923bc1-f44d-2889-f73e-f0cf7c007e8e,145149,Idelle Weber,2719,3000,0.9063333333333333,46.0113,0.825,0.0,0.825,0.834013044834137
65e58fc4-4dd1-7149-b76b-94547745bece,27980,Henri Matisse,2734,2250,1.215111111111111,33.4415,0.85,0.025,0.825,0.787788152694702
6b38b7ca-39e6-b9d8-bfb1-86bc07454f35,90581,Philip Guston,6238,4418,1.41195110909914,21.158,0.85,0.025,0.825,0.894406080245971
7454d154-c28f-210e-0df2-8b6b0e8ff0a8,66398,Richard Aberle Florsheim,3426,1706,2.00820633059789,17.0002,0.875,0.05,0.825,0.849915146827697
7c42d99b-2284-8106-afc4-ebc5874aaa60,,Milton Avery,2907,2250,1.292,42.326,0.825,0.0,0.825,0.721325814723968
8c4c8346-560a-bd5a-ed11-5f771cd34d7d,185773,Julia Fish,3504,2280,1.5368421052631578,14.7471,0.85,0.025,0.825,0.857393860816955
a3d26c55-430e-2c80-36ee-7d5fa478cc3a,149742,Raymond Pettibon,2263,3000,0.7543333333333333,34.8109,0.875,0.05,0.825,0.952168881893158
bb20fd96-fa18-3eb7-fb56-d5cae3fd8762,184880,Ellen Lanyon,2377,3000,0.7923333333333333,9.9058,0.825,0.0,0.825,0.803910493850708
c44dbabd-ab24-673d-bbf3-60c39451c894,28890,Bridget Riley,6314,4188,1.5076408787010507,5.0189,0.875,0.05,0.825,0.819047391414642
c73af721-157e-eb9e-2836-e2ca3c9d0a20,236501,Wifredo Lam,4888,7026,0.6957016794762312,22.0201,0.875,0.05,0.825,0.845765233039856
c96955c7-879a-8ace-12a0-a416c4d264fe,10018,Paul Klee,2203,2250,0.9791111111111112,29.5446,0.875,0.05,0.825,0.80928087234497
cc7d2ecc-f4ae-393e-7ab0-fe3716f49502,64962,Theo van Doesburg,2250,2250,1.0,3.3041,0.875,0.05,0.825,0.843364715576171
